function,subsystem,in_sdk_port
OSInit,os,yes
DVDInit,dvd,yes
VIInit,vi,yes
PADInit,pad,yes
OSGetProgressiveMode,os,yes
VIGetDTVStatus,vi,yes
VIConfigure,vi,yes
VIConfigurePan,vi,yes
OSAlloc,os,yes
GXInit,gx,yes
OSInitFastCast,os,yes
VIGetTvFormat,vi,yes
OSPanic,os,yes
GXAdjustForOverscan,gx,yes
GXSetViewport,gx,yes
GXSetScissor,gx,yes
GXSetDispCopySrc,gx,yes
GXSetDispCopyDst,gx,yes
GXSetDispCopyYScale,gx,yes
OSReport,os,yes
GXGetYScaleFactor,gx,yes
GXSetCopyFilter,gx,yes
GXSetPixelFmt,gx,yes
GXCopyDisp,gx,yes
GXSetDispCopyGamma,gx,yes
OSGetArenaLo,os,yes
OSGetArenaHi,os,yes
OSRoundUp32B,os,yes
OSSetArenaLo,os,yes
OSGetConsoleType,os,yes
OSGetPhysicalMemSize,os,yes
OSGetConsoleSimulatedMemSize,os,yes
OSInitAlloc,os,yes
OSRoundDown32B,os,yes
OSSetCurrentHeap,os,yes
OSCreateHeap,os,yes
VISetNextFrameBuffer,vi,yes
VIFlush,vi,yes
VIWaitForRetrace,vi,yes
GXSetViewportJitter,gx,yes
VIGetNextField,vi,yes
GXInvalidateVtxCache,gx,yes
GXInvalidateTexAll,gx,yes
GXDrawDone,gx,yes
GXSetZMode,gx,yes
GXSetColorUpdate,gx,yes
VIGetRetraceCount,vi,yes
VISetBlack,vi,yes
DVDOpen,dvd,yes
OSSetArenaHi,os,yes
OSAllocFixed,os,yes
DVDRead,dvd,yes
DVDClose,dvd,yes
OSDumpHeap,os,yes
