index,function,origin,canonical_suite,tests_exp_act,expected_bins,actual_bins,pass_bins,covered
1,HuPrcInit,mp4,,,0,0,0,
2,HuPadInit,mp4,,,0,0,0,
3,GWInit,mp4,,,0,0,0,
4,pfInit,mp4,,,0,0,0,
5,HuSprInit,mp4,,,0,0,0,
6,Hu3DInit,mp4,,,0,0,0,
7,HuDataInit,mp4,,,0,0,0,
8,HuPerfInit,mp4,,,0,0,0,
9,HuPerfCreate,mp4,,,0,0,0,
10,WipeInit,mp4,,,0,0,0,
11,omMasterInit,mp4,,,0,0,0,
12,VIWaitForRetrace,sdk,tests/sdk/vi/vi_wait_for_retrace,1/1,1,1,1,yes
13,VIGetNextField,sdk,tests/sdk/vi/vi_get_next_field,1/1,1,1,1,yes
14,OSReport,sdk,tests/sdk/os/os_report,1/1,1,1,1,yes
15,VIWaitForRetrace,sdk,tests/sdk/vi/vi_wait_for_retrace,1/1,1,1,1,yes
16,VIGetRetraceCount,sdk,tests/sdk/vi/vi_get_retrace_count,1/1,1,1,1,yes
17,HuSysBeforeRender,mp4,,,0,0,0,
18,GXSetGPMetric,sdk,tests/sdk/gx/gx_set_gp_metric,1/1,1,1,1,yes
19,GXClearGPMetric,sdk,tests/sdk/gx/gx_clear_gp_metric,1/1,1,1,1,yes
20,GXSetVCacheMetric,sdk,tests/sdk/gx/gx_set_vcache_metric,1/1,1,1,1,yes
21,GXClearVCacheMetric,sdk,tests/sdk/gx/gx_clear_vcache_metric,1/1,1,1,1,yes
22,GXClearPixMetric,sdk,tests/sdk/gx/gx_clear_pix_metric,1/1,1,1,1,yes
23,GXClearMemMetric,sdk,tests/sdk/gx/gx_clear_mem_metric,1/1,1,1,1,yes
24,HuSysDoneRender,mp4,,,0,0,0,
25,GXReadGPMetric,sdk,tests/sdk/gx/gx_read_gp_metric,1/1,1,1,1,yes
26,GXReadVCacheMetric,sdk,tests/sdk/gx/gx_read_vcache_metric,1/1,1,1,1,yes
27,GXReadPixMetric,sdk,tests/sdk/gx/gx_read_pix_metric,1/1,1,1,1,yes
28,GXReadMemMetric,sdk,tests/sdk/gx/gx_read_mem_metric,1/1,1,1,1,yes
29,GXDrawDone,sdk,tests/sdk/gx/gx_draw_done,1/1,1,1,1,yes
30,GXSetZMode,sdk,tests/sdk/gx/gx_set_z_mode,1/1,1,1,1,yes
31,GXSetColorUpdate,sdk,tests/sdk/gx/gx_set_color_update,1/1,1,1,1,yes
32,GXDrawDone,sdk,tests/sdk/gx/gx_draw_done,1/1,1,1,1,yes
33,GXCopyDisp,sdk,tests/sdk/gx/gx_copy_disp,1/1,1,1,1,yes
34,VIGetRetraceCount,sdk,tests/sdk/vi/vi_get_retrace_count,1/1,1,1,1,yes
35,VIWaitForRetrace,sdk,tests/sdk/vi/vi_wait_for_retrace,1/1,1,1,1,yes
36,SwapBuffers,mp4,,,0,0,0,
37,VISetNextFrameBuffer,sdk,tests/sdk/vi/vi_set_next_frame_buffer,1/1,1,1,1,yes
38,VISetBlack,sdk,tests/sdk/vi/vi_set_black,1/1,1,1,1,yes
39,VIFlush,sdk,tests/sdk/vi/vi_flush,1/1,1,1,1,yes
40,VIWaitForRetrace,sdk,tests/sdk/vi/vi_wait_for_retrace,1/1,1,1,1,yes
