function,normalized,kind,callsites_count,files,in_chain_all,canonical_suite,has_test_suite,notes
DVDClose,dvd_close,fn,1,init.c,y,tests/sdk/dvd/dvd_close,y,
DVDInit,dvd_init,fn,1,init.c,y,tests/sdk/dvd/dvd_init,y,
DVDOpen,dvd_open,fn,1,init.c,y,tests/sdk/dvd/dvd_open,y,
DVDRead,dvd_read,fn,1,init.c,y,tests/sdk/dvd/dvd_read,y,
GXAdjustForOverscan,gx_adjust_for_overscan,fn,1,init.c,y,tests/sdk/gx/gx_adjust_for_overscan,y,
GXBegin,gx_begin,fn,6,printfunc.c;wipe.c,y,tests/sdk/gx/gx_begin,y,
GXClearGPMetric,gx_clear_gpmetric,fn,1,main.c,y,tests/sdk/gx/gx_clear_gp_metric,y,
GXClearMemMetric,gx_clear_mem_metric,fn,1,main.c,y,tests/sdk/gx/gx_clear_mem_metric,y,
GXClearPixMetric,gx_clear_pix_metric,fn,1,main.c,y,tests/sdk/gx/gx_clear_pix_metric,y,
GXClearVCacheMetric,gx_clear_vcache_metric,fn,1,main.c,y,tests/sdk/gx/gx_clear_vcache_metric,y,
GXClearVtxDesc,gx_clear_vtx_desc,fn,6,printfunc.c;wipe.c,y,tests/sdk/gx/gx_clear_vtx_desc,y,
GXColor1x8,gx_color_1_x_8,fn,12,printfunc.c,y,tests/sdk/gx/gx_color_1x8,y,
GXColor3u8,gx_color_3_u_8,fn,8,printfunc.c,y,tests/sdk/gx/gx_color_3u8,y,
GXCopyDisp,gx_copy_disp,fn,2,init.c,y,tests/sdk/gx/gx_copy_disp,y,
GXCopyTex,gx_copy_tex,fn,1,wipe.c,y,tests/sdk/gx/gx_copy_tex,y,
GXDrawDone,gx_draw_done,fn,3,init.c,y,tests/sdk/gx/gx_draw_done,y,
GXEnd,gx_end,fn,6,printfunc.c;wipe.c,y,tests/sdk/gx/gx_begin,y,
GXGetTexBufferSize,gx_get_tex_buffer_size,fn,1,wipe.c,y,tests/sdk/gx/gx_get_tex_buffer_size,y,
GXGetYScaleFactor,gx_get_yscale_factor,fn,1,init.c,y,tests/sdk/gx/gx_get_y_scale_factor,y,
GXInit,gx_init,fn,1,init.c,y,tests/sdk/gx/gx_init,y,
GXInitTexObj,gx_init_tex_obj,fn,2,printfunc.c;wipe.c,y,tests/sdk/gx/gx_init_tex_obj,y,
GXInitTexObjLOD,gx_init_tex_obj_lod,fn,1,printfunc.c,y,tests/sdk/gx/gx_init_tex_obj_lod,y,
GXInvalidateTexAll,gx_invalidate_tex_all,fn,2,init.c;printfunc.c,y,tests/sdk/gx/gx_invalidate_tex_all,y,
GXInvalidateVtxCache,gx_invalidate_vtx_cache,fn,1,init.c,y,tests/sdk/gx/gx_invalidate_vtx_cache,y,
GXLoadPosMtxImm,gx_load_pos_mtx_imm,fn,5,printfunc.c;wipe.c,y,tests/sdk/gx/gx_load_pos_mtx_imm,y,
GXLoadTexObj,gx_load_tex_obj,fn,2,printfunc.c;wipe.c,y,tests/sdk/gx/gx_load_tex_obj,y,
GXPosition2f32,gx_position_2_f_32,fn,8,printfunc.c,y,tests/sdk/gx/gx_position_2f32,y,
GXPosition2s16,gx_position_2s16,fn,4,printfunc.c,n,tests/sdk/gx/gx_position_2s16,y,
GXPosition2u16,gx_position_2u16,fn,8,wipe.c,n,tests/sdk/gx/gx_position_2u16,y,
GXPosition3s16,gx_position_3s16,fn,12,printfunc.c,y,tests/sdk/gx/gx_position_3s16,y,
GXReadGPMetric,gx_read_gpmetric,fn,1,main.c,y,tests/sdk/gx/gx_read_gp_metric,y,
GXReadMemMetric,gx_read_mem_metric,fn,1,main.c,y,tests/sdk/gx/gx_read_mem_metric,y,
GXReadPixMetric,gx_read_pix_metric,fn,1,main.c,y,tests/sdk/gx/gx_read_pix_metric,y,
GXReadVCacheMetric,gx_read_vcache_metric,fn,1,main.c,y,tests/sdk/gx/gx_read_vcache_metric,y,
GXSetAlphaCompare,gx_set_alpha_compare,fn,3,printfunc.c;wipe.c,y,tests/sdk/gx/gx_set_alpha_compare,y,
GXSetAlphaUpdate,gx_set_alpha_update,fn,3,printfunc.c;wipe.c,y,tests/sdk/gx/gx_set_alpha_update,y,
GXSetArray,gx_set_array,fn,2,printfunc.c,y,tests/sdk/gx/gx_set_array,y,
GXSetBlendMode,gx_set_blend_mode,fn,3,printfunc.c;wipe.c,y,tests/sdk/gx/gx_set_blend_mode,y,
GXSetChanAmbColor,gx_set_chan_amb_color,fn,1,wipe.c,y,tests/sdk/gx/gx_set_chan_amb_color,y,
GXSetChanCtrl,gx_set_chan_ctrl,fn,4,printfunc.c;wipe.c,y,tests/sdk/gx/gx_set_chan_ctrl,y,
GXSetChanMatColor,gx_set_chan_mat_color,fn,4,wipe.c,y,tests/sdk/gx/gx_set_chan_mat_color,y,
GXSetColorUpdate,gx_set_color_update,fn,3,init.c;wipe.c,y,tests/sdk/gx/gx_set_color_update,y,
GXSetCopyFilter,gx_set_copy_filter,fn,1,init.c,y,tests/sdk/gx/gx_set_copy_filter,y,
GXSetCurrentMtx,gx_set_current_mtx,fn,3,printfunc.c;wipe.c,y,tests/sdk/gx/gx_set_current_mtx,y,
